lat,lon,time,later,week1,week2,week3,week4,clim_later,clim_week1,clim_week2,clim_week3,clim_week4
18,76,2025-05-07,0.6285550255514433,0.007909523654797277,0.03312066855923505,0.08898518020327602,0.2414296020312483,0.7066476307649889,0.0050477574728848935,0.020706680155735922,0.06876224181291739,0.19883568979347283
18,78,2025-05-07,0.688051942601886,0.004494081848138081,0.030637170239980558,0.09025107999013944,0.18656572531985602,0.7360243045083852,0.003744474832514089,0.01689572670198673,0.06350433919293887,0.17983115476417533
18,80,2025-05-07,0.7329547741565223,0.0004651874624615509,0.024577749978518637,0.0905164440092029,0.15148584439329474,0.7953122081803284,0.00045991439559004934,0.007405632933789843,0.0466957548810419,0.15012648960924985
18,82,2025-05-07,0.6249104076972157,0.0026169169238062493,0.09437029479308282,0.12190162234821747,0.1562007582376776,0.7461250354786095,0.0017910394503431756,0.022619562977827783,0.06313057602522928,0.1663337860679901
18,84,2025-05-07,,,,,,0.9972546806654866,4.27817590543566e-06,6.248094519012491e-05,0.0004465556012730549,0.0022320046121447664
18,86,2025-05-07,,,,,,0.9972546806654866,4.27817590543566e-06,6.248094519012491e-05,0.0004465556012730549,0.0022320046121447664
18,88,2025-05-07,,,,,,0.9972546806654866,4.27817590543566e-06,6.248094519012491e-05,0.0004465556012730549,0.0022320046121447664
20,76,2025-05-07,0.779325660640833,4.881727674713353e-05,0.006103647905586518,0.04727774967690916,0.16724412449992423,0.85973129989867,0.00011319012382999544,0.0030674156766568855,0.0270861845183691,0.11000190978247387
20,78,2025-05-07,0.8758601372486218,1.0509243893982997e-06,3.9157237844749034e-05,0.010052847504644304,0.11404680708449984,0.9474990389281848,2.3315585067470465e-06,1.6898452406980984e-05,0.002056053147890732,0.050425677913010655
20,80,2025-05-07,0.7322582841771089,9.441425459109499e-06,0.0031461680755955836,0.09521575497853871,0.1693703513432976,0.8950221137076075,2.0971526264692858e-05,0.0006999934845139569,0.0169726575670972,0.08728426371451672
20,82,2025-05-07,0.7280441453079984,3.2869774335723634e-05,0.014369198298362652,0.10396504873442337,0.15358873788487998,0.8836451219444253,3.3503158247904514e-05,0.001577179308868578,0.019924599238670442,0.09481959634978768
20,84,2025-05-07,0.6340593292229811,0.00048537944594011754,0.0371859068296093,0.15284208282359948,0.17542730167787,0.8213587829765991,0.0003111481348525723,0.006359002679577218,0.03772788632056756,0.1342431798884033
20,86,2025-05-07,,,,,,0.9972546806654866,4.27817590543566e-06,6.248094519012491e-05,0.0004465556012730549,0.0022320046121447664
20,88,2025-05-07,,,,,,0.9972546806654866,4.27817590543566e-06,6.248094519012491e-05,0.0004465556012730549,0.0022320046121447664
22,76,2025-05-07,0.8653160931991258,7.754755046443792e-07,0.00021001032112170876,0.0226295694032113,0.11184355160103654,0.914705626827445,1.572980423980342e-05,0.0004297935685425632,0.012539689265333333,0.07230916053443937
22,78,2025-05-07,0.8334801282902545,5.884514246081494e-07,0.00013422024252662628,0.02905502670139042,0.1373300363144038,0.9255869103252815,8.833485204944031e-06,0.00016029316279397523,0.008153933140135952,0.06609002988658381
22,80,2025-05-07,0.7918384023069809,1.189949987186227e-06,0.0004344394422342032,0.04928021724325624,0.15844575105754158,0.9238708463033839,1.2338516629956202e-05,0.0002851712924946593,0.009552647353443562,0.06627899653404797
22,82,2025-05-07,0.7842914787902314,1.6966959728713248e-06,0.00024112108256430035,0.053532330969955,0.16193337246127637,0.9248963266334638,6.083053417125922e-06,8.426005315854635e-05,0.006776169059008406,0.06823716120095207
22,84,2025-05-07,0.820850409000946,5.070470725869252e-06,0.0003242148027494902,0.04313174720320208,0.1356885585223766,0.951329569847855,2.629762548926176e-06,2.068713005555076e-05,0.0025243552213836677,0.046122758038156825
22,86,2025-05-07,0.6005948693972513,0.00010820969562495722,0.03375453357390903,0.16543937807127568,0.2001030092619391,0.8302651729458569,4.479889060254572e-05,0.002587421476208418,0.03527778833674258,0.13182481835058962
22,88,2025-05-07,0.42825842549646254,0.00020943723379060646,0.08175027565069376,0.2431660612091762,0.2466158004098771,0.8207450513765392,6.742800642967075e-05,0.004740577156198349,0.03704145920313447,0.13740548425769825
